Bradford:977 [Test],,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.193,0.195,0.204,,,,,0.202,0.197,0.198,0.204,0.201,Bradford:977 [Test]
B,0.198,0.201,0.195,,,,,0.197,0.198,0.198,0.205,0.201,Bradford:977 [Test]
C,0.197,0.207,0.198,,,,,0.199,0.198,0.199,0.206,0.202,Bradford:977 [Test]
D,,,,,,,,0.199,0.199,0.199,0.204,0.204,Bradford:977 [Test]
E,,,,,,,,0.198,0.203,0.198,0.204,0.203,Bradford:977 [Test]
F,,,,,,,,0.198,0.199,0.198,0.204,0.203,Bradford:977 [Test]
G,,,,,,,,0.198,0.197,0.198,0.203,0.203,Bradford:977 [Test]
H,,,,,,,,0.197,0.195,0.198,0.203,0.203,Bradford:977 [Test]
,,,,,,,,,,,,,
Bradford:900 [Ref],,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.082,0.082,0.091,,,,,0.083,0.082,0.083,0.085,0.083,Bradford:900 [Ref]
B,0.082,0.086,0.082,,,,,0.083,0.084,0.084,0.086,0.085,Bradford:900 [Ref]
C,0.083,0.093,0.082,,,,,0.085,0.085,0.086,0.087,0.085,Bradford:900 [Ref]
D,,,,,,,,0.086,0.085,0.085,0.087,0.086,Bradford:900 [Ref]
E,,,,,,,,0.084,0.086,0.085,0.086,0.086,Bradford:900 [Ref]
F,,,,,,,,0.084,0.086,0.084,0.086,0.086,Bradford:900 [Ref]
G,,,,,,,,0.085,0.084,0.084,0.086,0.086,Bradford:900 [Ref]
H,,,,,,,,0.084,0.082,0.085,0.086,0.086,Bradford:900 [Ref]
,,,,,,,,,,,,,
Bradford:Pathlength,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.622,0.628,0.628,,,,,0.662,0.637,0.637,0.663,0.654,Bradford:Pathlength
B,0.643,0.638,0.631,,,,,0.633,0.636,0.636,0.662,0.646,Bradford:Pathlength
C,0.635,0.637,0.643,,,,,0.631,0.63,0.627,0.659,0.649,Bradford:Pathlength
D,,,,,,,,0.628,0.633,0.634,0.649,0.657,Bradford:Pathlength
E,,,,,,,,0.634,0.652,0.628,0.651,0.651,Bradford:Pathlength
F,,,,,,,,0.631,0.629,0.631,0.651,0.649,Bradford:Pathlength
G,,,,,,,,0.629,0.629,0.63,0.652,0.654,Bradford:Pathlength
H,,,,,,,,0.629,0.626,0.629,0.652,0.652,Bradford:Pathlength
,,,,,,,,,,,,,
Bradford:595,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.426,0.435,0.447,,,,,0.459,0.446,0.447,0.466,0.456,Bradford:595
B,0.447,0.453,0.442,,,,,0.473,0.468,0.475,0.486,0.484,Bradford:595
C,0.45,0.459,0.452,,,,,0.511,0.506,0.506,0.522,0.514,Bradford:595
D,,,,,,,,0.521,0.514,0.508,0.534,0.53,Bradford:595
E,,,,,,,,0.536,0.529,0.515,0.531,0.535,Bradford:595
F,,,,,,,,0.553,0.556,0.56,0.577,0.561,Bradford:595
G,,,,,,,,0.568,0.565,0.564,0.576,0.578,Bradford:595
H,,,,,,,,0.593,0.598,0.599,0.644,0.64,Bradford:595
,,,,,,,,,,,,,
Corrected [Bradford:595],,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.686,0.694,0.711,,,,,0.694,0.7,0.702,0.702,0.697,Corrected [Bradford:595]
B,0.696,0.71,0.7,,,,,0.748,0.736,0.747,0.735,0.75,Corrected [Bradford:595]
C,0.708,0.721,0.703,,,,,0.809,0.803,0.807,0.792,0.791,Corrected [Bradford:595]
D,,,,,,,,0.831,0.813,0.8,0.823,0.807,Corrected [Bradford:595]
E,,,,,,,,0.845,0.81,0.819,0.816,0.823,Corrected [Bradford:595]
F,,,,,,,,0.876,0.885,0.887,0.886,0.865,Corrected [Bradford:595]
G,,,,,,,,0.902,0.897,0.895,0.883,0.883,Corrected [Bradford:595]
H,,,,,,,,0.943,0.956,0.952,0.988,0.982,Corrected [Bradford:595]
