Well,Absorbance,Measurement
A1,0.193,Bradford:977 [Test]
A2,0.195,Bradford:977 [Test]
A3,0.204,Bradford:977 [Test]
A4,,Bradford:977 [Test]
A5,,Bradford:977 [Test]
A6,,Bradford:977 [Test]
A7,,Bradford:977 [Test]
A8,0.202,Bradford:977 [Test]
A9,0.197,Bradford:977 [Test]
A10,0.198,Bradford:977 [Test]
A11,0.204,Bradford:977 [Test]
A12,0.201,Bradford:977 [Test]
B1,0.198,Bradford:977 [Test]
B2,0.201,Bradford:977 [Test]
B3,0.195,Bradford:977 [Test]
B4,,Bradford:977 [Test]
B5,,Bradford:977 [Test]
B6,,Bradford:977 [Test]
B7,,Bradford:977 [Test]
B8,0.197,Bradford:977 [Test]
B9,0.198,Bradford:977 [Test]
B10,0.198,Bradford:977 [Test]
B11,0.205,Bradford:977 [Test]
B12,0.201,Bradford:977 [Test]
C1,0.197,Bradford:977 [Test]
C2,0.207,Bradford:977 [Test]
C3,0.198,Bradford:977 [Test]
C4,,Bradford:977 [Test]
C5,,Bradford:977 [Test]
C6,,Bradford:977 [Test]
C7,,Bradford:977 [Test]
C8,0.199,Bradford:977 [Test]
C9,0.198,Bradford:977 [Test]
C10,0.199,Bradford:977 [Test]
C11,0.206,Bradford:977 [Test]
C12,0.202,Bradford:977 [Test]
D1,,Bradford:977 [Test]
D2,,Bradford:977 [Test]
D3,,Bradford:977 [Test]
D4,,Bradford:977 [Test]
D5,,Bradford:977 [Test]
D6,,Bradford:977 [Test]
D7,,Bradford:977 [Test]
D8,0.199,Bradford:977 [Test]
D9,0.199,Bradford:977 [Test]
D10,0.199,Bradford:977 [Test]
D11,0.204,Bradford:977 [Test]
D12,0.204,Bradford:977 [Test]
E1,,Bradford:977 [Test]
E2,,Bradford:977 [Test]
E3,,Bradford:977 [Test]
E4,,Bradford:977 [Test]
E5,,Bradford:977 [Test]
E6,,Bradford:977 [Test]
E7,,Bradford:977 [Test]
E8,0.198,Bradford:977 [Test]
E9,0.203,Bradford:977 [Test]
E10,0.198,Bradford:977 [Test]
E11,0.204,Bradford:977 [Test]
E12,0.203,Bradford:977 [Test]
F1,,Bradford:977 [Test]
F2,,Bradford:977 [Test]
F3,,Bradford:977 [Test]
F4,,Bradford:977 [Test]
F5,,Bradford:977 [Test]
F6,,Bradford:977 [Test]
F7,,Bradford:977 [Test]
F8,0.198,Bradford:977 [Test]
F9,0.199,Bradford:977 [Test]
F10,0.198,Bradford:977 [Test]
F11,0.204,Bradford:977 [Test]
F12,0.203,Bradford:977 [Test]
G1,,Bradford:977 [Test]
G2,,Bradford:977 [Test]
G3,,Bradford:977 [Test]
G4,,Bradford:977 [Test]
G5,,Bradford:977 [Test]
G6,,Bradford:977 [Test]
G7,,Bradford:977 [Test]
G8,0.198,Bradford:977 [Test]
G9,0.197,Bradford:977 [Test]
G10,0.198,Bradford:977 [Test]
G11,0.203,Bradford:977 [Test]
G12,0.203,Bradford:977 [Test]
H1,,Bradford:977 [Test]
H2,,Bradford:977 [Test]
H3,,Bradford:977 [Test]
H4,,Bradford:977 [Test]
H5,,Bradford:977 [Test]
H6,,Bradford:977 [Test]
H7,,Bradford:977 [Test]
H8,0.197,Bradford:977 [Test]
H9,0.195,Bradford:977 [Test]
H10,0.198,Bradford:977 [Test]
H11,0.203,Bradford:977 [Test]
H12,0.203,Bradford:977 [Test]
A1,0.082,Bradford:900 [Ref]
A2,0.082,Bradford:900 [Ref]
A3,0.091,Bradford:900 [Ref]
A4,,Bradford:900 [Ref]
A5,,Bradford:900 [Ref]
A6,,Bradford:900 [Ref]
A7,,Bradford:900 [Ref]
A8,0.083,Bradford:900 [Ref]
A9,0.082,Bradford:900 [Ref]
A10,0.083,Bradford:900 [Ref]
A11,0.085,Bradford:900 [Ref]
A12,0.083,Bradford:900 [Ref]
B1,0.082,Bradford:900 [Ref]
B2,0.086,Bradford:900 [Ref]
B3,0.082,Bradford:900 [Ref]
B4,,Bradford:900 [Ref]
B5,,Bradford:900 [Ref]
B6,,Bradford:900 [Ref]
B7,,Bradford:900 [Ref]
B8,0.083,Bradford:900 [Ref]
B9,0.084,Bradford:900 [Ref]
B10,0.084,Bradford:900 [Ref]
B11,0.086,Bradford:900 [Ref]
B12,0.085,Bradford:900 [Ref]
C1,0.083,Bradford:900 [Ref]
C2,0.093,Bradford:900 [Ref]
C3,0.082,Bradford:900 [Ref]
C4,,Bradford:900 [Ref]
C5,,Bradford:900 [Ref]
C6,,Bradford:900 [Ref]
C7,,Bradford:900 [Ref]
C8,0.085,Bradford:900 [Ref]
C9,0.085,Bradford:900 [Ref]
C10,0.086,Bradford:900 [Ref]
C11,0.087,Bradford:900 [Ref]
C12,0.085,Bradford:900 [Ref]
D1,,Bradford:900 [Ref]
D2,,Bradford:900 [Ref]
D3,,Bradford:900 [Ref]
D4,,Bradford:900 [Ref]
D5,,Bradford:900 [Ref]
D6,,Bradford:900 [Ref]
D7,,Bradford:900 [Ref]
D8,0.086,Bradford:900 [Ref]
D9,0.085,Bradford:900 [Ref]
D10,0.085,Bradford:900 [Ref]
D11,0.087,Bradford:900 [Ref]
D12,0.086,Bradford:900 [Ref]
E1,,Bradford:900 [Ref]
E2,,Bradford:900 [Ref]
E3,,Bradford:900 [Ref]
E4,,Bradford:900 [Ref]
E5,,Bradford:900 [Ref]
E6,,Bradford:900 [Ref]
E7,,Bradford:900 [Ref]
E8,0.084,Bradford:900 [Ref]
E9,0.086,Bradford:900 [Ref]
E10,0.085,Bradford:900 [Ref]
E11,0.086,Bradford:900 [Ref]
E12,0.086,Bradford:900 [Ref]
F1,,Bradford:900 [Ref]
F2,,Bradford:900 [Ref]
F3,,Bradford:900 [Ref]
F4,,Bradford:900 [Ref]
F5,,Bradford:900 [Ref]
F6,,Bradford:900 [Ref]
F7,,Bradford:900 [Ref]
F8,0.084,Bradford:900 [Ref]
F9,0.086,Bradford:900 [Ref]
