Bradford:977 [Test]
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.197,0.193,0.190,,,,,0.184,0.191,0.199,0.189,0.183,Bradford:977 [Test]
B,0.197,0.188,0.189,,,,,0.209,0.192,0.193,0.185,0.185,Bradford:977 [Test]
C,0.196,0.185,0.185,,,,,0.184,0.186,0.183,0.188,0.186,Bradford:977 [Test]
D,,,,,,,,0.196,0.185,0.185,0.190,0.194,Bradford:977 [Test]
E,,,,,,,,0.191,0.183,0.195,0.192,0.193,Bradford:977 [Test]
F,,,,,,,,0.190,0.184,0.184,0.187,0.194,Bradford:977 [Test]
G,,,,,,,,0.184,0.186,0.184,0.186,0.186,Bradford:977 [Test]
H,,,,,,,,0.184,0.184,0.184,0.185,0.185,Bradford:977 [Test]

Bradford:900 [Ref]
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.076,0.074,0.074,,,,,0.065,0.071,0.078,0.077,0.064,Bradford:900 [Ref]
B,0.071,0.071,0.072,,,,,0.087,0.072,0.074,0.066,0.066,Bradford:900 [Ref]
C,0.069,0.068,0.068,,,,,0.065,0.066,0.065,0.069,0.067,Bradford:900 [Ref]
D,,,,,,,,0.075,0.065,0.066,0.071,0.075,Bradford:900 [Ref]
E,,,,,,,,0.072,0.065,0.076,0.073,0.073,Bradford:900 [Ref]
F,,,,,,,,0.071,0.065,0.065,0.068,0.077,Bradford:900 [Ref]
G,,,,,,,,0.065,0.068,0.065,0.067,0.065,Bradford:900 [Ref]
H,,,,,,,,0.065,0.065,0.064,0.066,0.065,Bradford:900 [Ref]

Bradford:Pathlength
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.672,0.662,0.641,,,,,0.664,0.667,0.673,0.624,0.659,Bradford:Pathlength
B,0.700,0.651,0.648,,,,,0.680,0.667,0.661,0.663,0.664,Bradford:Pathlength
C,0.706,0.648,0.650,,,,,0.660,0.672,0.658,0.665,0.663,Bradford:Pathlength
D,,,,,,,,0.668,0.664,0.664,0.662,0.661,Bradford:Pathlength
E,,,,,,,,0.664,0.658,0.661,0.665,0.664,Bradford:Pathlength
F,,,,,,,,0.659,0.658,0.662,0.662,0.648,Bradford:Pathlength
G,,,,,,,,0.663,0.658,0.663,0.662,0.671,Bradford:Pathlength
H,,,,,,,,0.661,0.661,0.663,0.663,0.664,Bradford:Pathlength

Bradford:595
,1,2,3,4,5,6,7,8,9,10,11,12
A,0.956,0.940,0.934,,,,,0.395,0.401,0.408,0.405,0.392,Bradford:595
B,0.729,0.701,0.698,,,,,0.941,0.915,0.916,0.913,0.912,Bradford:595
C,0.549,0.520,0.520,,,,,1.135,1.146,1.138,1.145,1.150,Bradford:595
D,,,,,,,,1.289,1.278,1.274,1.282,1.285,Bradford:595
E,,,,,,,,1.420,1.407,1.420,1.425,1.423,Bradford:595
F,,,,,,,,1.528,1.518,1.527,1.526,1.542,Bradford:595
G,,,,,,,,1.650,1.654,1.656,1.652,1.653,Bradford:595
H,,,,,,,,1.696,1.694,1.693,1.693,1.699,Bradford:595

Corrected [Bradford:595]
,1,2,3,4,5,6,7,8,9,10,11,12
A,1.422,1.420,1.459,,,,,0.595,0.601,0.607,0.649,0.595,Corrected [Bradford:595]
B,1.042,1.076,1.077,,,,,1.383,1.373,1.386,1.377,1.374,Corrected [Bradford:595]
C,0.778,0.801,0.800,,,,,1.720,1.705,1.730,1.721,1.735,Corrected [Bradford:595]
D,,,,,,,,1.929,1.923,1.920,1.937,1.945,Corrected [Bradford:595]
E,,,,,,,,2.137,2.139,2.148,2.143,2.144,Corrected [Bradford:595]
F,,,,,,,,2.319,2.306,2.307,2.306,2.378,Corrected [Bradford:595]
G,,,,,,,,2.489,2.512,2.499,2.495,2.462,Corrected [Bradford:595]
H,,,,,,,,2.567,2.564,2.552,2.555,2.559,Corrected [Bradford:595]

