Bradford:977 [Test]
,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,,Bradford:977 [Test]
B,,,,,,,,,,,,,Bradford:977 [Test]
C,,,,,,,,,,,,,Bradford:977 [Test]
D,,,,,,,,,,,,,Bradford:977 [Test]
E,,,,,,,0.244,0.235,0.242,,,,Bradford:977 [Test]
F,,,,,,,0.189,0.188,0.186,,,,Bradford:977 [Test]
G,,,,,,,0.202,0.200,0.196,,,,Bradford:977 [Test]
H,,,,,,,0.194,0.194,0.191,,,,Bradford:977 [Test]

Bradford:900 [Ref]
,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,,Bradford:900 [Ref]
B,,,,,,,,,,,,,Bradford:900 [Ref]
C,,,,,,,,,,,,,Bradford:900 [Ref]
D,,,,,,,,,,,,,Bradford:900 [Ref]
E,,,,,,,0.148,0.134,0.151,,,,Bradford:900 [Ref]
F,,,,,,,0.080,0.078,0.077,,,,Bradford:900 [Ref]
G,,,,,,,0.095,0.093,0.092,,,,Bradford:900 [Ref]
H,,,,,,,0.084,0.085,0.082,,,,Bradford:900 [Ref]

Bradford:Pathlength
,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,,Bradford:Pathlength
B,,,,,,,,,,,,,Bradford:Pathlength
C,,,,,,,,,,,,,Bradford:Pathlength
D,,,,,,,,,,,,,Bradford:Pathlength
E,,,,,,,0.534,0.563,0.508,,,,Bradford:Pathlength
F,,,,,,,0.604,0.613,0.604,,,,Bradford:Pathlength
G,,,,,,,0.594,0.593,0.582,,,,Bradford:Pathlength
H,,,,,,,0.607,0.605,0.602,,,,Bradford:Pathlength

Bradford:595
,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,,Bradford:595
B,,,,,,,,,,,,,Bradford:595
C,,,,,,,,,,,,,Bradford:595
D,,,,,,,,,,,,,Bradford:595
E,,,,,,,2.426,2.285,2.288,,,,Bradford:595
F,,,,,,,1.839,1.874,1.853,,,,Bradford:595
G,,,,,,,1.458,1.464,1.460,,,,Bradford:595
H,,,,,,,0.869,0.868,0.858,,,,Bradford:595

Corrected [Bradford:595]
,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,,Corrected [Bradford:595]
B,,,,,,,,,,,,,Corrected [Bradford:595]
C,,,,,,,,,,,,,Corrected [Bradford:595]
D,,,,,,,,,,,,,Corrected [Bradford:595]
E,,,,,,,4.543,4.060,4.506,,,,Corrected [Bradford:595]
F,,,,,,,3.043,3.056,3.069,,,,Corrected [Bradford:595]
G,,,,,,,2.453,2.469,2.508,,,,Corrected [Bradford:595]
H,,,,,,,1.431,1.434,1.425,,,,Corrected [Bradford:595]

